instrument_id,side,qty,entry_ts,entry_price,exit_ts,exit_price,realized_pnl,fees,multiplier,is_open
USO,LONG,1301,2020-01-02T21:00:00+00:00,12.842025000000001,2020-02-03T21:00:00+00:00,10.463775,-3094.1032500000015,0.0,1.0,false
IWM,LONG,100,2020-01-02T21:00:00+00:00,166.485175,2020-03-02T21:00:00+00:00,150.133725,-1635.145,0.0,1.0,false
SPY,LONG,51,2020-01-02T21:00:00+00:00,325.882675,2020-04-01T20:00:00+00:00,246.88125,-4029.072675000001,0.0,1.0,false
SPY,LONG,26,2020-03-02T21:00:00+00:00,309.07075000000003,2020-04-01T20:00:00+00:00,246.88125,-1616.927000000001,0.0,1.0,false
QQQ,LONG,77,2020-01-02T21:00:00+00:00,216.890875,2020-04-01T20:00:00+00:00,182.871675,-2619.4783999999986,0.0,1.0,false
QQQ,LONG,33,2020-03-02T21:00:00+00:00,216.48987499999998,2020-04-01T20:00:00+00:00,182.871675,-1109.400599999999,0.0,1.0,false
TLT,LONG,18,2020-01-02T21:00:00+00:00,137.111925,2020-05-01T20:00:00+00:00,167.370525,544.6547999999996,0.0,1.0,false
GLD,LONG,15,2020-01-02T21:00:00+00:00,144.269775,2020-05-01T20:00:00+00:00,159.50025,228.45712499999976,0.0,1.0,false
QQQ,LONG,20,2020-05-01T20:00:00+00:00,213.51245,2020-06-01T20:00:00+00:00,232.83644999999999,386.4799999999997,0.0,1.0,false
TLT,LONG,11,2020-01-02T21:00:00+00:00,137.111925,2020-06-01T20:00:00+00:00,162.01395,273.9222749999998,0.0,1.0,false
GLD,LONG,19,2020-01-02T21:00:00+00:00,144.269775,2020-06-01T20:00:00+00:00,163.33065000000002,362.1566250000002,0.0,1.0,false
USO,LONG,433,2020-05-01T20:00:00+00:00,18.997374999999998,2020-06-01T20:00:00+00:00,26.204325,3120.609350000001,0.0,1.0,false
QQQ,LONG,4,2020-05-01T20:00:00+00:00,213.51245,2020-07-01T20:00:00+00:00,249.9735,145.8442,0.0,1.0,false
USO,LONG,29,2020-05-01T20:00:00+00:00,18.997374999999998,2020-07-01T20:00:00+00:00,28.179375,266.2780000000001,0.0,1.0,false
QQQ,LONG,15,2020-05-01T20:00:00+00:00,213.51245,2020-08-03T20:00:00+00:00,268.616775,826.5648750000003,0.0,1.0,false
TLT,LONG,21,2020-01-02T21:00:00+00:00,137.111925,2020-08-03T20:00:00+00:00,168.926625,668.1086999999998,0.0,1.0,false
GLD,LONG,27,2020-01-02T21:00:00+00:00,144.269775,2020-08-03T20:00:00+00:00,185.006325,1099.8868499999999,0.0,1.0,false
USO,LONG,120,2020-05-01T20:00:00+00:00,18.997374999999998,2020-08-03T20:00:00+00:00,29.306549999999998,1237.1009999999999,0.0,1.0,false
SPY,LONG,2,2020-08-03T20:00:00+00:00,329.632025,2020-09-01T20:00:00+00:00,352.666125,46.06820000000005,0.0,1.0,false
QQQ,LONG,6,2020-05-01T20:00:00+00:00,213.51245,2020-09-01T20:00:00+00:00,300.74625,523.4027999999998,0.0,1.0,false
IWM,LONG,2,2020-08-03T20:00:00+00:00,150.19455,2020-09-01T20:00:00+00:00,157.18605000000002,13.983000000000061,0.0,1.0,false
USO,LONG,5,2020-05-01T20:00:00+00:00,18.997374999999998,2020-09-01T20:00:00+00:00,30.613275,58.07950000000002,0.0,1.0,false
IWM,LONG,1,2020-08-03T20:00:00+00:00,150.19455,2020-10-01T20:00:00+00:00,151.570125,1.3755749999999978,0.0,1.0,false
