order_id,ts,fill_price,fill_qty,fees,liquidity_flag
strat-SPY-LONG-2020-01-02T21:00:00+00:00,2020-01-03T21:00:00+00:00,322.57442499999996,51,16.451295674999997,
strat-QQQ-LONG-2020-01-02T21:00:00+00:00,2020-01-03T21:00:00+00:00,214.41469999999998,77,16.5099319,
strat-IWM-LONG-2020-01-02T21:00:00+00:00,2020-01-03T21:00:00+00:00,164.259625,100,16.4259625,
strat-TLT-LONG-2020-01-02T21:00:00+00:00,2020-01-03T21:00:00+00:00,138.7861,121,16.7931181,
strat-GLD-LONG-2020-01-02T21:00:00+00:00,2020-01-03T21:00:00+00:00,145.7635,115,16.7628025,
strat-USO-LONG-2020-01-02T21:00:00+00:00,2020-01-03T21:00:00+00:00,13.243025000000001,1301,17.229175525000002,
strat-USO-SHORT-2020-02-03T21:00:00+00:00,2020-02-04T21:00:00+00:00,10.67325,1301,13.88589825,
strat-SPY-LONG-2020-03-02T21:00:00+00:00,2020-03-03T21:00:00+00:00,309.41159999999996,26,8.0447016,
strat-QQQ-LONG-2020-03-02T21:00:00+00:00,2020-03-03T21:00:00+00:00,216.8207,33,7.1550831,
strat-TLT-LONG-2020-03-02T21:00:00+00:00,2020-03-03T21:00:00+00:00,154.294775,34,5.24602235,
strat-GLD-LONG-2020-03-02T21:00:00+00:00,2020-03-03T21:00:00+00:00,150.6156,44,6.6270864000000005,
strat-IWM-SHORT-2020-03-02T21:00:00+00:00,2020-03-03T21:00:00+00:00,151.20105,100,15.120105000000002,
strat-SPY-SHORT-2020-04-01T20:00:00+00:00,2020-04-02T20:00:00+00:00,247.00095000000002,77,19.01907315,
strat-QQQ-SHORT-2020-04-01T20:00:00+00:00,2020-04-02T20:00:00+00:00,184.29809999999998,110,20.272790999999998,
strat-QQQ-LONG-2020-05-01T20:00:00+00:00,2020-05-04T20:00:00+00:00,211.978625,108,22.893691500000003,
strat-TLT-SHORT-2020-05-01T20:00:00+00:00,2020-05-04T20:00:00+00:00,168.27824999999999,18,3.0290084999999998,
strat-GLD-SHORT-2020-05-01T20:00:00+00:00,2020-05-04T20:00:00+00:00,159.530175,15,2.3929526250000004,
strat-USO-LONG-2020-05-01T20:00:00+00:00,2020-05-04T20:00:00+00:00,18.375825,1215,22.326627375,
strat-QQQ-SHORT-2020-06-01T20:00:00+00:00,2020-06-02T20:00:00+00:00,234.08332499999997,20,4.6816664999999995,
strat-TLT-SHORT-2020-06-01T20:00:00+00:00,2020-06-02T20:00:00+00:00,161.5152,10,1.6151520000000001,
strat-GLD-SHORT-2020-06-01T20:00:00+00:00,2020-06-02T20:00:00+00:00,162.81195,18,2.9306151000000003,
strat-USO-SHORT-2020-06-01T20:00:00+00:00,2020-06-02T20:00:00+00:00,26.43375,426,11.2607775,
strat-QQQ-SHORT-2020-07-01T20:00:00+00:00,2020-07-02T20:00:00+00:00,251.0508,3,0.7531524,
strat-TLT-LONG-2020-07-01T20:00:00+00:00,2020-07-02T20:00:00+00:00,163.61802500000002,4,0.6544721000000001,
strat-GLD-LONG-2020-07-01T20:00:00+00:00,2020-07-02T20:00:00+00:00,167.05659999999997,3,0.5011697999999999,
strat-USO-SHORT-2020-07-01T20:00:00+00:00,2020-07-02T20:00:00+00:00,28.548450000000003,29,0.8279050500000001,
strat-SPY-LONG-2020-08-03T20:00:00+00:00,2020-08-04T20:00:00+00:00,328.890175,57,18.746739975,
strat-QQQ-SHORT-2020-08-03T20:00:00+00:00,2020-08-04T20:00:00+00:00,268.0881,16,4.2894096,
strat-IWM-LONG-2020-08-03T20:00:00+00:00,2020-08-04T20:00:00+00:00,149.7735,125,18.7216875,
strat-TLT-SHORT-2020-08-03T20:00:00+00:00,2020-08-04T20:00:00+00:00,169.325625,20,3.3865125,
strat-GLD-SHORT-2020-08-03T20:00:00+00:00,2020-08-04T20:00:00+00:00,185.33550000000002,28,5.189394,
strat-USO-SHORT-2020-08-03T20:00:00+00:00,2020-08-04T20:00:00+00:00,28.967399999999998,121,3.5050554,
strat-SPY-SHORT-2020-09-01T20:00:00+00:00,2020-09-02T20:00:00+00:00,353.59380000000004,2,0.7071876000000001,
strat-QQQ-SHORT-2020-09-01T20:00:00+00:00,2020-09-02T20:00:00+00:00,302.212575,5,1.5110628750000001,
strat-IWM-SHORT-2020-09-01T20:00:00+00:00,2020-09-02T20:00:00+00:00,157.62495,2,0.3152499,
strat-GLD-LONG-2020-09-01T20:00:00+00:00,2020-09-02T20:00:00+00:00,184.81087499999998,4,0.7392434999999999,
strat-USO-SHORT-2020-09-01T20:00:00+00:00,2020-09-02T20:00:00+00:00,30.673125,5,0.153365625,
strat-QQQ-LONG-2020-10-01T20:00:00+00:00,2020-10-02T20:00:00+00:00,278.43435,2,0.5568687,
strat-TLT-LONG-2020-10-01T20:00:00+00:00,2020-10-02T20:00:00+00:00,164.279675,3,0.492839025,
strat-GLD-SHORT-2020-10-01T20:00:00+00:00,2020-10-02T20:00:00+00:00,178.7919,1,0.1787919,
strat-USO-LONG-2020-10-01T20:00:00+00:00,2020-10-02T20:00:00+00:00,26.806849999999997,49,1.3135356499999997,
strat-TLT-SHORT-2020-11-02T21:00:00+00:00,2020-11-03T21:00:00+00:00,157.535175,114,17.95900995,
strat-SPY-LONG-2020-12-01T21:00:00+00:00,2020-12-02T21:00:00+00:00,366.09295000000003,10,3.6609295000000004,
strat-QQQ-LONG-2020-12-01T21:00:00+00:00,2020-12-02T21:00:00+00:00,304.2788,12,3.6513455999999995,
strat-IWM-LONG-2020-12-01T21:00:00+00:00,2020-12-02T21:00:00+00:00,182.58532499999998,7,1.278097275,
strat-GLD-LONG-2020-12-01T21:00:00+00:00,2020-12-02T21:00:00+00:00,171.5478,36,6.175720800000001,
strat-USO-LONG-2020-12-01T21:00:00+00:00,2020-12-02T21:00:00+00:00,30.65645,102,3.1269579,
strat-IWM-SHORT-2021-01-04T21:00:00+00:00,2021-01-05T21:00:00+00:00,192.946425,1,0.192946425,
strat-GLD-SHORT-2021-01-04T21:00:00+00:00,2021-01-05T21:00:00+00:00,181.694625,2,0.36338925,
strat-USO-SHORT-2021-01-04T21:00:00+00:00,2021-01-05T21:00:00+00:00,32.548425,9,0.29293582500000004,
strat-SPY-LONG-2021-02-01T21:00:00+00:00,2021-02-02T21:00:00+00:00,379.80715000000004,2,0.7596143000000001,
strat-IWM-SHORT-2021-02-01T21:00:00+00:00,2021-02-02T21:00:00+00:00,212.0286,9,1.9082574000000003,
strat-GLD-LONG-2021-02-01T21:00:00+00:00,2021-02-02T21:00:00+00:00,173.883625,8,1.3910689999999999,
strat-USO-SHORT-2021-02-01T21:00:00+00:00,2021-02-02T21:00:00+00:00,36.388799999999996,68,2.4744383999999995,
strat-GLD-SHORT-2021-03-01T21:00:00+00:00,2021-03-02T21:00:00+00:00,161.006475,146,23.50694535,
strat-SPY-LONG-2021-04-01T20:00:00+00:00,2021-04-05T20:00:00+00:00,403.135325,16,6.450165200000001,
strat-QQQ-LONG-2021-04-01T20:00:00+00:00,2021-04-05T20:00:00+00:00,325.612,24,7.814688,
strat-IWM-LONG-2021-04-01T20:00:00+00:00,2021-04-05T20:00:00+00:00,227.27677500000001,29,6.5910264750000005,
strat-USO-LONG-2021-04-01T20:00:00+00:00,2021-04-05T20:00:00+00:00,41.252874999999996,92,3.7952645,
strat-QQQ-LONG-2021-05-03T20:00:00+00:00,2021-05-04T20:00:00+00:00,335.85755,2,0.6717151,
strat-IWM-LONG-2021-05-03T20:00:00+00:00,2021-05-04T20:00:00+00:00,225.90335000000002,5,1.12951675,
strat-USO-SHORT-2021-05-03T20:00:00+00:00,2021-05-04T20:00:00+00:00,44.039625,6,0.26423775,
strat-SPY-SHORT-2021-06-01T20:00:00+00:00,2021-06-02T20:00:00+00:00,418.5111,16,6.6961776,
strat-QQQ-SHORT-2021-06-01T20:00:00+00:00,2021-06-02T20:00:00+00:00,331.51912500000003,20,6.6303825000000005,
strat-IWM-SHORT-2021-06-01T20:00:00+00:00,2021-06-02T20:00:00+00:00,227.44995,31,7.05094845,
strat-USO-SHORT-2021-06-01T20:00:00+00:00,2021-06-02T20:00:00+00:00,46.553325,185,8.612365125,
strat-SPY-LONG-2021-07-01T20:00:00+00:00,2021-07-02T20:00:00+00:00,432.0374,18,7.7766732,
strat-QQQ-LONG-2021-07-01T20:00:00+00:00,2021-07-02T20:00:00+00:00,356.08799999999997,19,6.7656719999999995,
strat-IWM-LONG-2021-07-01T20:00:00+00:00,2021-07-02T20:00:00+00:00,231.96847499999998,35,8.118896625,
strat-USO-LONG-2021-07-01T20:00:00+00:00,2021-07-02T20:00:00+00:00,50.756575000000005,116,5.887762700000001,
strat-SPY-SHORT-2021-08-02T20:00:00+00:00,2021-08-03T20:00:00+00:00,437.9424,18,7.882963200000001,
strat-QQQ-SHORT-2021-08-02T20:00:00+00:00,2021-08-03T20:00:00+00:00,364.336875,22,8.01541125,
strat-IWM-SHORT-2021-08-02T20:00:00+00:00,2021-08-03T20:00:00+00:00,220.74675000000002,24,5.297922000000001,
strat-USO-SHORT-2021-08-02T20:00:00+00:00,2021-08-03T20:00:00+00:00,49.466025,124,6.1337871,
strat-SPY-SHORT-2021-09-01T20:00:00+00:00,2021-09-02T20:00:00+00:00,451.34880000000004,2,0.9026976000000001,
strat-QQQ-SHORT-2021-09-01T20:00:00+00:00,2021-09-02T20:00:00+00:00,380.18715,3,1.1405614499999999,
strat-IWM-SHORT-2021-09-01T20:00:00+00:00,2021-09-02T20:00:00+00:00,227.459925,4,0.9098397,
strat-USO-LONG-2021-09-01T20:00:00+00:00,2021-09-02T20:00:00+00:00,48.26035,21,1.01346735,
strat-SPY-LONG-2021-10-01T20:00:00+00:00,2021-10-04T20:00:00+00:00,433.26045,2,0.8665209,
strat-QQQ-LONG-2021-10-01T20:00:00+00:00,2021-10-04T20:00:00+00:00,358.624325,4,1.4344973,
strat-IWM-LONG-2021-10-01T20:00:00+00:00,2021-10-04T20:00:00+00:00,222.22417499999997,2,0.44444834999999994,
strat-TLT-LONG-2021-10-01T20:00:00+00:00,2021-10-04T20:00:00+00:00,145.06175,203,29.447535249999998,
strat-USO-SHORT-2021-10-01T20:00:00+00:00,2021-10-04T20:00:00+00:00,53.196675,69,3.6705705749999997,
strat-QQQ-SHORT-2021-11-01T20:00:00+00:00,2021-11-02T20:00:00+00:00,386.222025,2,0.7724440499999999,
strat-IWM-LONG-2021-11-01T20:00:00+00:00,2021-11-02T20:00:00+00:00,235.06619999999998,1,0.23506619999999998,
