instrument_id,side,qty,entry_ts,entry_price,exit_ts,exit_price,realized_pnl,fees,multiplier,is_open
QQQ,LONG,16,2020-05-04T20:00:00+00:00,211.978625,2020-08-04T20:00:00+00:00,268.0881,897.7516,8.598810352941177,1.0,false
TLT,LONG,20,2020-01-03T21:00:00+00:00,138.7861,2020-08-04T20:00:00+00:00,169.325625,610.7905,6.9979357473118275,1.0,false
GLD,LONG,28,2020-01-03T21:00:00+00:00,145.7635,2020-08-04T20:00:00+00:00,185.33550000000002,1108.016000000001,10.913277780487805,1.0,false
USO,LONG,121,2020-05-04T20:00:00+00:00,18.375825,2020-08-04T20:00:00+00:00,28.967399999999998,1281.580575,7.059689495230263,1.0,false
SPY,LONG,2,2020-08-04T20:00:00+00:00,328.890175,2020-09-02T20:00:00+00:00,353.59380000000004,49.40725000000009,1.36496795,1.0,false
QQQ,LONG,5,2020-05-04T20:00:00+00:00,211.978625,2020-09-02T20:00:00+00:00,302.212575,451.16975000000014,3.1700260271739134,1.0,false
IWM,LONG,2,2020-08-04T20:00:00+00:00,149.7735,2020-09-02T20:00:00+00:00,157.62495,15.7029,0.6147969,1.0,false
USO,LONG,5,2020-05-04T20:00:00+00:00,18.375825,2020-09-02T20:00:00+00:00,30.673125,61.4865,0.3280653697183099,1.0,false
GLD,LONG,1,2020-01-03T21:00:00+00:00,145.7635,2020-10-02T20:00:00+00:00,178.7919,33.028400000000005,0.4892141685185185,1.0,false
TLT,LONG,73,2020-01-03T21:00:00+00:00,138.7861,2020-11-03T21:00:00+00:00,157.535175,1368.6824750000003,28.293185875,1.0,false
TLT,LONG,34,2020-03-03T21:00:00+00:00,154.294775,2020-11-03T21:00:00+00:00,157.535175,110.17360000000076,10.6022183,1.0,false
TLT,LONG,4,2020-07-02T20:00:00+00:00,163.61802500000002,2020-11-03T21:00:00+00:00,157.535175,-24.33140000000003,1.2846128,1.0,false
TLT,LONG,3,2020-10-02T20:00:00+00:00,164.279675,2020-11-03T21:00:00+00:00,157.535175,-20.233499999999964,0.96544455,1.0,false
IWM,LONG,1,2020-08-04T20:00:00+00:00,149.7735,2021-01-05T21:00:00+00:00,192.946425,43.17292499999999,0.34515526646341466,1.0,false
GLD,LONG,2,2020-01-03T21:00:00+00:00,145.7635,2021-01-05T21:00:00+00:00,181.694625,71.86225000000002,0.9959478349056603,1.0,false
USO,LONG,9,2020-05-04T20:00:00+00:00,18.375825,2021-01-05T21:00:00+00:00,32.548425,127.55340000000002,0.609875330323344,1.0,false
IWM,LONG,9,2020-08-04T20:00:00+00:00,149.7735,2021-02-02T21:00:00+00:00,212.0286,560.2959,3.2893654942622956,1.0,false
USO,LONG,68,2020-05-04T20:00:00+00:00,18.375825,2021-02-02T21:00:00+00:00,36.388799999999996,1224.8822999999998,4.9035754584,1.0,false
GLD,LONG,51,2020-01-03T21:00:00+00:00,145.7635,2021-03-02T21:00:00+00:00,161.006475,777.3917250000001,24.974132724999997,1.0,false
GLD,LONG,44,2020-03-03T21:00:00+00:00,150.6156,2021-03-02T21:00:00+00:00,161.006475,457.19849999999974,13.7113713,1.0,false
GLD,LONG,3,2020-07-02T20:00:00+00:00,167.05659999999997,2021-03-02T21:00:00+00:00,161.006475,-18.15037499999994,0.9841892249999998,1.0,false
GLD,LONG,4,2020-09-02T20:00:00+00:00,184.81087499999998,2021-03-02T21:00:00+00:00,161.006475,-95.21759999999995,1.3832693999999999,1.0,false
GLD,LONG,36,2020-12-02T21:00:00+00:00,171.5478,2021-03-02T21:00:00+00:00,161.006475,-379.4877,11.971953899999999,1.0,false
GLD,LONG,8,2021-02-02T21:00:00+00:00,173.883625,2021-03-02T21:00:00+00:00,161.006475,-103.0172,2.6791207999999997,1.0,false
USO,LONG,6,2020-05-04T20:00:00+00:00,18.375825,2021-05-04T20:00:00+00:00,44.039625,153.9828,0.5047400197486536,1.0,false
SPY,LONG,16,2020-08-04T20:00:00+00:00,328.890175,2021-06-02T20:00:00+00:00,418.5111,1433.9348,12.149774683636364,1.0,false
QQQ,LONG,20,2020-05-04T20:00:00+00:00,211.978625,2021-06-02T20:00:00+00:00,331.51912500000003,2390.810000000001,13.784661093750001,1.0,false
IWM,LONG,31,2020-08-04T20:00:00+00:00,149.7735,2021-06-02T20:00:00+00:00,227.44995,2407.9699499999997,12.186986613716815,1.0,false
