ts,instrument_id,position_value
2020-01-03T21:00:00+00:00,SPY,16459.74
2020-01-03T21:00:00+00:00,QQQ,16501.100000000002
2020-01-03T21:00:00+00:00,IWM,16503.0
2020-01-03T21:00:00+00:00,TLT,16843.199999999997
2020-01-03T21:00:00+00:00,GLD,16791.149999999998
2020-01-03T21:00:00+00:00,USO,17199.22
2020-01-06T21:00:00+00:00,SPY,16484.22
2020-01-06T21:00:00+00:00,QQQ,16567.32
2020-01-06T21:00:00+00:00,IWM,16515.0
2020-01-06T21:00:00+00:00,TLT,16711.31
2020-01-06T21:00:00+00:00,GLD,16931.449999999997
2020-01-06T21:00:00+00:00,USO,17108.15
2020-01-07T21:00:00+00:00,SPY,16292.970000000001
2020-01-07T21:00:00+00:00,QQQ,16392.53
2020-01-07T21:00:00+00:00,IWM,16291.0
2020-01-07T21:00:00+00:00,TLT,16817.79
2020-01-07T21:00:00+00:00,GLD,17253.45
2020-01-07T21:00:00+00:00,USO,17602.53
2020-01-08T21:00:00+00:00,SPY,16582.649999999998
2020-01-08T21:00:00+00:00,QQQ,16759.05
2020-01-08T21:00:00+00:00,IWM,16571.0
2020-01-08T21:00:00+00:00,TLT,16508.030000000002
2020-01-08T21:00:00+00:00,GLD,16855.55
2020-01-08T21:00:00+00:00,USO,16262.5
2020-01-09T21:00:00+00:00,SPY,16671.899999999998
2020-01-09T21:00:00+00:00,QQQ,16883.02
2020-01-09T21:00:00+00:00,IWM,16552.0
2020-01-09T21:00:00+00:00,TLT,16591.52
2020-01-09T21:00:00+00:00,GLD,16804.95
2020-01-09T21:00:00+00:00,USO,16249.49
2020-01-10T21:00:00+00:00,SPY,16606.62
2020-01-10T21:00:00+00:00,QQQ,16814.49
2020-01-10T21:00:00+00:00,IWM,16462.0
2020-01-10T21:00:00+00:00,TLT,16743.98
2020-01-10T21:00:00+00:00,GLD,16902.699999999997
2020-01-10T21:00:00+00:00,USO,16125.894999999999
2020-01-13T21:00:00+00:00,SPY,16747.38
2020-01-13T21:00:00+00:00,QQQ,17047.8
2020-01-13T21:00:00+00:00,IWM,16606.0
2020-01-13T21:00:00+00:00,TLT,16676.219999999998
2020-01-13T21:00:00+00:00,GLD,16753.2
2020-01-13T21:00:00+00:00,USO,15872.199999999999
2020-01-14T21:00:00+00:00,SPY,16687.2
2020-01-14T21:00:00+00:00,QQQ,16909.97
2020-01-14T21:00:00+00:00,IWM,16619.0
2020-01-14T21:00:00+00:00,TLT,16788.75
2020-01-14T21:00:00+00:00,GLD,16770.45
2020-01-14T21:00:00+00:00,USO,15872.199999999999
2020-01-15T21:00:00+00:00,SPY,16768.8
2020-01-15T21:00:00+00:00,QQQ,16990.82
2020-01-15T21:00:00+00:00,IWM,16777.0
2020-01-15T21:00:00+00:00,TLT,16900.07
2020-01-15T21:00:00+00:00,GLD,16854.4
2020-01-15T21:00:00+00:00,USO,15833.17
2020-01-16T21:00:00+00:00,SPY,16887.63
2020-01-16T21:00:00+00:00,QQQ,17131.73
2020-01-16T21:00:00+00:00,IWM,16976.0
2020-01-16T21:00:00+00:00,TLT,16725.829999999998
2020-01-16T21:00:00+00:00,GLD,16811.85
2020-01-16T21:00:00+00:00,USO,16015.310000000001
2020-01-17T21:00:00+00:00,SPY,16921.8
2020-01-17T21:00:00+00:00,QQQ,17186.399999999998
2020-01-17T21:00:00+00:00,IWM,16884.0
2020-01-17T21:00:00+00:00,TLT,16719.780000000002
2020-01-17T21:00:00+00:00,GLD,16855.55
2020-01-17T21:00:00+00:00,USO,16028.32
2020-01-21T21:00:00+00:00,SPY,16891.2
2020-01-21T21:00:00+00:00,QQQ,17192.56
2020-01-21T21:00:00+00:00,IWM,16758.0
2020-01-21T21:00:00+00:00,TLT,16856.510000000002
2020-01-21T21:00:00+00:00,GLD,16859.0
2020-01-21T21:00:00+00:00,USO,15924.24
2020-01-22T21:00:00+00:00,SPY,16865.19
2020-01-22T21:00:00+00:00,QQQ,17205.649999999998
2020-01-22T21:00:00+00:00,IWM,16722.0
2020-01-22T21:00:00+00:00,TLT,16954.52
2020-01-22T21:00:00+00:00,GLD,16924.55
2020-01-22T21:00:00+00:00,USO,15338.789999999999
2020-01-23T21:00:00+00:00,SPY,16944.75
2020-01-23T21:00:00+00:00,QQQ,17368.12
2020-01-23T21:00:00+00:00,IWM,16766.0
2020-01-23T21:00:00+00:00,TLT,17069.469999999998
2020-01-23T21:00:00+00:00,GLD,16901.55
2020-01-23T21:00:00+00:00,USO,15221.699999999999
2020-01-24T21:00:00+00:00,SPY,16748.91
2020-01-24T21:00:00+00:00,QQQ,17104.78
2020-01-24T21:00:00+00:00,IWM,16530.0
2020-01-24T21:00:00+00:00,TLT,17276.38
2020-01-24T21:00:00+00:00,GLD,17063.7
2020-01-24T21:00:00+00:00,USO,14779.359999999999
2020-01-27T21:00:00+00:00,SPY,16525.53
2020-01-27T21:00:00+00:00,QQQ,16822.96
2020-01-27T21:00:00+00:00,IWM,16378.0
2020-01-27T21:00:00+00:00,TLT,17428.84
2020-01-27T21:00:00+00:00,GLD,17114.3
2020-01-27T21:00:00+00:00,USO,14467.119999999999
2020-01-28T21:00:00+00:00,SPY,16671.39
2020-01-28T21:00:00+00:00,QQQ,17053.19
2020-01-28T21:00:00+00:00,IWM,16475.0
2020-01-28T21:00:00+00:00,TLT,17304.21
2020-01-28T21:00:00+00:00,GLD,16991.25
2020-01-28T21:00:00+00:00,USO,14675.279999999999
2020-01-29T21:00:00+00:00,SPY,16663.23
2020-01-29T21:00:00+00:00,QQQ,17094.0
2020-01-29T21:00:00+00:00,IWM,16407.0
2020-01-29T21:00:00+00:00,TLT,17484.5
2020-01-29T21:00:00+00:00,GLD,17075.199999999997
2020-01-29T21:00:00+00:00,USO,14506.15
2020-01-30T21:00:00+00:00,SPY,16744.32
2020-01-30T21:00:00+00:00,QQQ,17281.11
2020-01-30T21:00:00+00:00,IWM,16389.0
2020-01-30T21:00:00+00:00,TLT,17466.35
2020-01-30T21:00:00+00:00,GLD,17034.95
2020-01-30T21:00:00+00:00,USO,14441.1
