order_id,ts,fill_price,fill_qty,fees,liquidity_flag
strat-SPY|2026-01-17|C|480|100-LONG-2026-01-02T14:31:00+00:00,2026-01-02T14:31:00+00:00,5.22,1,0.0,
strat-SPY|2026-01-17|C|480|100-SHORT-2026-01-02T14:33:00+00:00,2026-01-02T14:33:00+00:00,5.137125,1,0.0,
