id,ts,instrument_id,side,qty,order_type,limit_price,tif
strat-SPY|2026-01-17|C|480|100-LONG-2026-01-02T14:31:00+00:00,2026-01-02T14:31:00+00:00,SPY|2026-01-17|C|480|100,BUY,1,market,,GTC
strat-SPY|2026-01-17|C|480|100-SHORT-2026-01-02T14:33:00+00:00,2026-01-02T14:33:00+00:00,SPY|2026-01-17|C|480|100,SELL,1,market,,GTC
